iter	Passed	Remaining
745	6686	483
746	6694	474
747	6702	465
748	6711	456
749	6719	447
750	6727	438
751	6735	429
752	6743	420
753	6752	411
754	6760	402
755	6768	393
756	6778	385
757	6787	376
758	6795	367
759	6803	358
760	6812	349
761	6820	340
762	6828	331
763	6836	322
764	6844	313
765	6852	304
766	6861	295
767	6869	286
768	6880	277
769	6888	268
770	6896	259
771	6904	250
772	6913	241
773	6921	232
774	6929	223
775	6937	214
776	6946	205
777	6954	196
778	6962	187
779	6972	178
780	6981	169
781	6990	160
782	6998	151
783	7007	143
784	7015	134
785	7023	125
786	7031	116
787	7039	107
788	7048	98
789	7056	89
790	7064	80
791	7075	71
792	7083	62
793	7091	53
794	7099	44
795	7107	35
796	7116	26
797	7124	17
798	7132	8
799	7140	0
